Probe	K562-dCAS9-1	K562-dCAS9-2	K562-dCas9-sep-1	K562-dCas9-sep-2	K562-dCas9-all-1	OCI-dCAS9-1	OCI-dCAS9-2	OCI-dCas9-sep-1	OCI-dCas9-sep-2	OCI-dCas9-all-1
MIR1302-11	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM138A	2.0	4.0	2.0	5.0	4.0	0.0	0.0	0.0	0.0	0.0
OR4F5	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-34P13.7	110.0	74.0	84.0	82.0	85.0	12.0	14.0	1.0	1.0	3.0
RP11-34P13.8	48.0	30.0	39.0	39.0	37.0	4.0	9.0	0.0	0.0	0.0
RP11-34P13.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-34P13.13	18.0	5.0	20.0	8.0	20.0	3.0	4.0	6.0	0.0	0.0
RP11-34P13.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FO538757.3	3.0	0.0	3.0	0.0	1.0	2.0	0.0	2.0	3.0	2.0
FO538757.2	275.0	58.0	193.0	133.0	214.0	177.0	335.0	91.0	71.0	97.0
AP006222.2	168.0	123.0	177.0	188.0	229.0	21.0	62.0	26.0	20.0	18.0
RP5-857K21.15	10.0	9.0	11.0	7.0	8.0	0.0	0.0	0.0	0.0	0.0
RP4-669L17.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP4-669L17.10	51.0	13.0	74.0	35.0	72.0	8.0	10.0	3.0	3.0	6.0
OR4F29	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
RP5-857K21.1	8.0	7.0	19.0	12.0	23.0	0.0	0.0	0.0	0.0	0.0
RP5-857K21.2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP5-857K21.3	0.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0
RP5-857K21.4	1.0	4.0	6.0	5.0	10.0	0.0	0.0	2.0	0.0	0.0
RP5-857K21.5	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
OR4F16	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
RP11-206L10.3	19.0	5.0	20.0	7.0	16.0	5.0	0.0	0.0	2.0	2.0
RP11-206L10.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-206L10.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-206L10.2	43.0	5.0	36.0	28.0	51.0	30.0	33.0	17.0	14.0	15.0
RP11-206L10.9	87.0	20.0	106.0	45.0	136.0	42.0	45.0	15.0	11.0	14.0
FAM87B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC01128	286.0	89.0	198.0	215.0	200.0	70.0	196.0	27.0	38.0	59.0
LINC00115	35.0	10.0	61.0	24.0	83.0	15.0	30.0	11.0	5.0	3.0
FAM41C	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
RP11-54O7.16	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
RP11-54O7.1	11.0	0.0	9.0	3.0	10.0	8.0	5.0	1.0	0.0	0.0
RP11-54O7.2	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
RP11-54O7.3	10.0	1.0	5.0	8.0	3.0	1.0	1.0	0.0	0.0	0.0
SAMD11	15.0	8.0	14.0	6.0	14.0	8.0	3.0	0.0	0.0	2.0
NOC2L	2447.0	2634.0	2563.0	5651.0	3262.0	2459.0	6334.0	954.0	1186.0	1539.0
KLHL17	335.0	140.0	371.0	265.0	437.0	283.0	241.0	179.0	65.0	190.0
PLEKHN1	8.0	9.0	5.0	13.0	11.0	21.0	31.0	6.0	8.0	11.0
PERM1	1.0	0.0	7.0	0.0	12.0	0.0	1.0	0.0	0.0	1.0
RP11-54O7.17	5.0	5.0	5.0	1.0	8.0	0.0	0.0	0.0	0.0	0.0
HES4	16.0	24.0	29.0	22.0	46.0	0.0	0.0	0.0	1.0	0.0
ISG15	183.0	57.0	86.0	81.0	83.0	82.0	209.0	22.0	52.0	55.0
RP11-54O7.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGRN	1925.0	1139.0	2066.0	1970.0	2341.0	704.0	1099.0	421.0	223.0	461.0
RP11-54O7.14	142.0	90.0	130.0	145.0	155.0	55.0	66.0	33.0	15.0	28.0
RP11-54O7.18	2.0	0.0	2.0	0.0	6.0	0.0	1.0	1.0	0.0	0.0
RNF223	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf159	383.0	174.0	351.0	343.0	394.0	241.0	493.0	177.0	101.0	156.0
LINC01342	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-465B22.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TTLL10-AS1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TTLL10	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF4	1.0	0.0	6.0	2.0	0.0	1.0	0.0	4.0	0.0	2.0
SDF4	2388.0	860.0	1673.0	2144.0	1926.0	2099.0	3969.0	992.0	1076.0	1324.0
B3GALT6	334.0	151.0	179.0	327.0	196.0	820.0	1278.0	446.0	502.0	753.0
FAM132A	19.0	2.0	23.0	12.0	36.0	2.0	3.0	0.0	0.0	0.0
RP5-902P8.12	5.0	0.0	11.0	3.0	6.0	3.0	3.0	2.0	0.0	0.0
UBE2J2	987.0	507.0	762.0	1035.0	843.0	817.0	1726.0	431.0	436.0	607.0
RP5-902P8.10	8.0	0.0	8.0	3.0	14.0	13.0	1.0	2.0	0.0	2.0
SCNN1D	45.0	2.0	57.0	10.0	56.0	47.0	8.0	34.0	0.0	23.0
ACAP3	967.0	215.0	795.0	376.0	802.0	796.0	819.0	422.0	200.0	612.0
PUSL1	373.0	234.0	333.0	544.0	427.0	290.0	672.0	135.0	143.0	205.0
CPSF3L	2238.0	793.0	1733.0	1559.0	2205.0	1754.0	2810.0	986.0	902.0	1251.0
RP5-890O3.9	19.0	8.0	18.0	8.0	38.0	24.0	35.0	17.0	10.0	14.0
CPTP	267.0	161.0	206.0	306.0	218.0	300.0	485.0	230.0	114.0	260.0
TAS1R3	11.0	0.0	1.0	1.0	5.0	2.0	5.0	2.0	0.0	3.0
DVL1	1225.0	738.0	1535.0	1348.0	1862.0	933.0	1524.0	613.0	438.0	611.0
MXRA8	100.0	60.0	80.0	36.0	115.0	8.0	2.0	4.0	1.0	4.0
AURKAIP1	1145.0	776.0	758.0	1140.0	906.0	1476.0	3167.0	603.0	660.0	1048.0
CCNL2	3977.0	359.0	2237.0	718.0	2707.0	1868.0	1736.0	1319.0	453.0	1372.0
RP4-758J18.2	565.0	185.0	250.0	368.0	292.0	446.0	638.0	194.0	256.0	328.0
MRPL20	1054.0	526.0	457.0	682.0	525.0	1176.0	2615.0	599.0	680.0	958.0
RP4-758J18.13	83.0	15.0	44.0	14.0	45.0	12.0	32.0	11.0	13.0	14.0
ANKRD65	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP4-758J18.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TMEM88B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP4-758J18.10	6.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
VWA1	192.0	41.0	26.0	17.0	31.0	71.0	117.0	75.0	43.0	79.0
ATAD3C	65.0	21.0	39.0	54.0	73.0	72.0	182.0	24.0	52.0	46.0
ATAD3B	1068.0	576.0	716.0	832.0	852.0	1229.0	1838.0	566.0	489.0	926.0
ATAD3A	1183.0	878.0	905.0	1411.0	1166.0	1526.0	3246.0	679.0	806.0	1270.0
TMEM240	22.0	2.0	27.0	8.0	18.0	10.0	10.0	2.0	5.0	3.0
SSU72	2381.0	970.0	1676.0	1796.0	1905.0	2360.0	4336.0	1180.0	1272.0	1855.0
RP5-832C2.5	24.0	8.0	7.0	13.0	9.0	21.0	43.0	15.0	7.0	13.0
AL645728.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf233	45.0	56.0	56.0	64.0	75.0	403.0	625.0	235.0	185.0	338.0
RP11-345P4.9	78.0	23.0	77.0	58.0	75.0	41.0	36.0	25.0	13.0	30.0
MIB2	531.0	63.0	594.0	152.0	657.0	447.0	569.0	285.0	139.0	253.0
MMP23B	3.0	0.0	4.0	0.0	10.0	4.0	3.0	1.0	0.0	2.0
CDK11B	1020.0	393.0	774.0	724.0	891.0	920.0	1952.0	525.0	377.0	664.0
RP11-345P4.10	6.0	0.0	5.0	4.0	1.0	11.0	7.0	4.0	1.0	9.0
SLC35E2B	3988.0	705.0	2346.0	1603.0	2786.0	1912.0	2400.0	1205.0	925.0	1508.0
RP11-345P4.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CDK11A	841.0	259.0	560.0	522.0	618.0	563.0	1135.0	338.0	230.0	337.0
RP1-283E3.8	1026.0	282.0	655.0	566.0	767.0	678.0	1259.0	406.0	293.0	403.0
SLC35E2	502.0	91.0	363.0	280.0	466.0	257.0	315.0	160.0	118.0	177.0
NADK	1744.0	806.0	1387.0	1863.0	1695.0	1429.0	2494.0	895.0	671.0	1006.0
GNB1	5400.0	2643.0	4463.0	6110.0	5305.0	6579.0	13319.0	4015.0	4521.0	5374.0
RP1-140A9.1	0.0	1.0	4.0	6.0	4.0	1.0	5.0	6.0	3.0	5.0
CALML6	1.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0
TMEM52	14.0	48.0	65.0	108.0	86.0	9.0	44.0	15.0	15.0	23.0
CFAP74	19.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0
RP11-547D24.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GABRD	0.0	0.0	0.0	0.0	0.0	3.0	4.0	1.0	7.0	2.0
RP11-547D24.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRKCZ	54.0	10.0	61.0	33.0	53.0	40.0	65.0	29.0	38.0	20.0
RP5-892K4.1	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0
RP11-181G12.2	17.0	5.0	13.0	13.0	16.0	4.0	14.0	5.0	1.0	7.0
C1orf86	729.0	351.0	615.0	795.0	652.0	512.0	917.0	316.0	237.0	414.0
RP11-181G12.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SKI	2027.0	786.0	1374.0	1811.0	1521.0	4281.0	6111.0	2304.0	2275.0	3349.0
MORN1	160.0	34.0	165.0	84.0	176.0	159.0	243.0	50.0	55.0	90.0
RP4-713A8.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP4-740C4.7	2.0	2.0	2.0	0.0	7.0	3.0	7.0	1.0	0.0	2.0
RER1	2179.0	921.0	1633.0	1974.0	1748.0	1667.0	2977.0	793.0	811.0	1263.0
PEX10	226.0	93.0	190.0	251.0	209.0	287.0	501.0	155.0	148.0	227.0
PLCH2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP3-395M20.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP3-395M20.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PANK4	288.0	188.0	330.0	428.0	435.0	190.0	377.0	116.0	100.0	156.0
HES5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP3-395M20.12	3.0	2.0	5.0	3.0	2.0	6.0	4.0	7.0	3.0	7.0
RP3-395M20.8	48.0	2.0	12.0	5.0	12.0	33.0	28.0	18.0	15.0	28.0
TNFRSF14	72.0	1.0	24.0	12.0	29.0	164.0	151.0	111.0	52.0	145.0
RP3-395M20.7	3.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	1.0
RP3-395M20.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAM213B	78.0	92.0	62.0	162.0	95.0	174.0	347.0	88.0	106.0	160.0
MMEL1	1.0	0.0	0.0	0.0	0.0	7.0	7.0	0.0	2.0	0.0
RP13-436F16.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TTC34	20.0	6.0	13.0	5.0	10.0	26.0	30.0	24.0	6.0	13.0
RP11-740P5.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-740P5.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACTRT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRDM16	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
RP1-163G9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-193J6.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-22L13.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ARHGEF16	54.0	5.0	22.0	7.0	19.0	112.0	88.0	47.0	35.0	117.0
RP11-168F9.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEGF6	736.0	9.0	252.0	104.0	248.0	8.0	7.0	9.0	1.0	8.0
RP11-46F15.2	5.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
TPRG1L	447.0	113.0	332.0	246.0	407.0	676.0	1093.0	355.0	307.0	527.0
WRAP73	379.0	176.0	484.0	432.0	528.0	654.0	1092.0	387.0	316.0	517.0
TP73	60.0	17.0	59.0	38.0	52.0	435.0	1144.0	203.0	215.0	293.0
RP5-1092A11.5	0.0	0.0	0.0	0.0	0.0	2.0	3.0	2.0	4.0	0.0
RP5-1092A11.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TP73-AS1	1001.0	347.0	861.0	724.0	1013.0	418.0	336.0	334.0	175.0	388.0
CCDC27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SMIM1	256.0	175.0	275.0	361.0	310.0	24.0	38.0	38.0	16.0	23.0
LRRC47	973.0	650.0	827.0	1321.0	1039.0	923.0	1838.0	480.0	556.0	645.0
RP1-286D6.5	14.0	1.0	4.0	10.0	14.0	1.0	0.0	3.0	0.0	0.0
CEP104	926.0	392.0	952.0	902.0	998.0	554.0	1278.0	335.0	377.0	422.0
DFFB	151.0	168.0	207.0	280.0	262.0	238.0	661.0	135.0	133.0	171.0
C1orf174	512.0	324.0	603.0	720.0	767.0	564.0	1201.0	298.0	298.0	424.0
LINC01134	18.0	0.0	13.0	2.0	16.0	34.0	24.0	18.0	11.0	30.0
LINC01346	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP13-614K11.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP5-1166F10.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP1-37J18.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP1-37J18.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AJAP1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-542C10.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP1-58B11.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-154H17.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NPHP4	579.0	219.0	575.0	506.0	671.0	752.0	1266.0	439.0	336.0	431.0
KCNAB2	536.0	117.0	282.0	285.0	304.0	12175.0	19930.0	8903.0	6150.0	9295.0
CHD5	12.0	0.0	4.0	0.0	6.0	9.0	4.0	0.0	0.0	3.0
RPL22	10068.0	4199.0	7647.0	7662.0	8481.0	7933.0	13145.0	4552.0	5246.0	5788.0
