	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENTHD1	505.861468421433	2.18012039119657	0.214539349998846	10.1618672341848	2.934026845202e-24	3.97179214034995e-21
MYO16	439.627331411413	1.85351198301869	0.208399071102448	8.89405107812362	5.89205925531403e-19	6.64673384493217e-16
KIT	136.438984506871	1.17419887361793	0.258680964280554	4.53917773533753	5.64740195092688e-06	0.0022484964767558
RP11-134O21.1	82.5511202097433	0.998796613065057	0.252700030915372	3.95249897456304	7.73392606822211e-05	0.0222753525926644
HMGCS1	3118.47279835163	0.987641750798892	0.257138236531912	3.84089804814509	0.000122585022542565	0.0325379107874255
PTGER3	1131.58270584838	0.976083980328219	0.19027030790656	5.12998581369599	2.89764015098564e-07	0.000156901418895571
ME1	607.284230037236	0.901314635434125	0.225864937155776	3.99050267289828	6.5933406031435e-05	0.0202850117601713
LSS	758.811210128483	0.723602255626054	0.193346451200428	3.74251635410649	0.000182186671808161	0.0438086104983689
PCSK9	2192.40574772623	0.652390989896648	0.168248250870736	3.87754990925805	0.000105513687028974	0.0291497710471677
FLOT2	2009.40151665281	-0.737174648953011	0.183009784122734	-4.02806140932132	5.62386559931958e-05	0.0177047136320905
MRPL20	656.031872984654	-0.79927708183624	0.213831340685072	-3.73788556567769	0.000185574371257744	0.0438086104983689
PTPRJ	794.624360208651	-0.803363687162811	0.20893874296552	-3.84497233859298	0.000120566038153494	0.0325379107874255
ZNF468	231.006556049435	-0.845124316887266	0.209294962712019	-4.03795822859876	5.39184509909247e-05	0.0173784302634321
ARAP3	557.881378025303	-0.861827999380619	0.198287751530921	-4.34635015388848	1.38421537519257e-05	0.00506435771188697
CTD-3099C6.9	73.2386757872632	-0.887784652344399	0.237692079986698	-3.73501991481619	0.000187700333080106	0.0438086104983689
SLCO2B1	179.065160852985	-0.897278996050437	0.225197398784002	-3.98441101405022	6.76477000727581e-05	0.0203499314641095
CATSPERB	21.4623001768089	-0.950108789277948	0.249953207481271	-3.80114661800905	0.0001440280412372	0.0367869357401505
CD52	536.958081542094	-0.988682104733969	0.236051760937057	-4.18841232452234	2.80912795379174e-05	0.00927491831962898
LINC01215	125.886393248615	-1.00513709458135	0.262626765712832	-3.82724545174659	0.000129585280136066	0.0337345372538832
INPP5D	146.402551094872	-1.00772237033307	0.269776322851372	-3.73539960691159	0.000187417338237267	0.0438086104983689
SSX2B	368.660527259396	-1.0137231313905	0.233938021465969	-4.33329787538604	1.46892143801677e-05	0.00523283934379817
MAML3	37.4633671515466	-1.02965514153416	0.272633386739067	-3.77670231019663	0.000158918482737087	0.0398385092742952
APOBR	184.733736695358	-1.05927132001357	0.269234554196923	-3.934381020197	8.34113747557413e-05	0.0235237454180931
C10orf54	768.777807112651	-1.08335645063065	0.272260497149494	-3.97911728647069	6.9171612572888e-05	0.0203560025956344
WAS	139.665801860651	-1.15253202885331	0.273951946246818	-4.20705910158028	2.58715497540931e-05	0.00875557922552897
NNMT	57.2060345018085	-1.15446869965421	0.255584083033854	-4.51698198866823	6.2727238620501e-06	0.00242611036915921
MS4A3	333.735978566989	-1.16444909638677	0.272524984575427	-4.27281593355887	1.93019786454083e-05	0.00669976628007415
FAM89A	509.73972638578	-1.18288177257182	0.246028103064956	-4.80791323363379	1.52513929392571e-06	0.000737350379352583
AC020571.3	39.6476700423867	-1.18626629858928	0.271021814052734	-4.37701408919969	1.20316199773334e-05	0.00452422332314341
COL6A3	682.815695079433	-1.19295536686524	0.260615376681683	-4.57745579733125	4.70665201551323e-06	0.00199106088543758
IL18RAP	111.146412402793	-1.23134106862227	0.268804387566573	-4.58080718015554	4.63184744406213e-06	0.00199106088543758
CD24	1606.20913654173	-1.23219603783106	0.266428693242184	-4.62486237062684	3.7484721477173e-06	0.00169143558212164
RP11-215G15.5	74.9734724862883	-1.24728229672836	0.273688010313798	-4.55731434964316	5.18118515310455e-06	0.00212538495204776
VWA1	59.8116074744818	-1.29697549315716	0.274286698843247	-4.72853951222173	2.26140621557344e-06	0.00105560882552475
MARCKS	149.40655268191	-1.31506482736137	0.267858238845493	-4.90955526710505	9.12831718385133e-07	0.000475269345068444
