	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SULT1B1	158.56885839171	1.3603324461882	0.299031580040953	4.54912636987002	5.38690879003402e-06	0.00352699836277713
ART3	224.661767245481	1.30102765479798	0.297087412117099	4.37927559948306	1.19074464756159e-05	0.00581763813522948
HGF	171.796658391533	1.2706403305013	0.296422837297412	4.28658042034196	1.81444535044287e-05	0.00730047423354659
LPL	240.434333738199	1.25279618067005	0.305573612373786	4.09981794873569	4.13475263523322e-05	0.0126649778368006
TUBB4A	245.303263012073	1.23047666780686	0.263544446416097	4.66895312931058	3.02738430722749e-06	0.00260806555769189
PDK4	25.3596180110309	1.177865492215	0.310835472682011	3.78935351892728	0.000151039842291261	0.0322549884328611
GNAI1	275.920171522229	1.12984446529955	0.248423347347846	4.54806070911494	5.4142518726842e-06	0.00352699836277713
SLC1A3	117.751332815908	1.12701329028999	0.310841028919454	3.62569025783922	0.000288190623406683	0.0430855283891214
THBS1	51.0911782758157	1.12611734395608	0.301184626043745	3.7389602475676	0.000184782941114457	0.0361118662063682
PERP	158.547154744866	1.12070010346215	0.258702677899475	4.33200039737363	1.47760675137312e-05	0.00631676886212007
PTGER3	406.537316437406	1.09762639168915	0.297075332419083	3.69477459724168	0.000220081935017223	0.0391458878065368
SERPINB9	488.446214434996	1.01710405725105	0.237928851336499	4.27482439198843	1.91288006063559e-05	0.00747662835128424
EPAS1	338.577234319904	1.01269361186472	0.222563526581235	4.55013284261151	5.3612058047764e-06	0.00352699836277713
SDC3	239.577516663269	1.00261551260757	0.234993105765897	4.26657415901547	1.98497531997984e-05	0.00754290621592338
TRIM36	113.4665558604	0.995103192879039	0.277475112986932	3.58627907983195	0.000335429978121554	0.0477987718823215
MARCKS	525.412809823439	0.983209997038398	0.268287695823837	3.66475992877434	0.000247570696612148	0.0394714922960969
DZIP1	628.266436212425	0.942863709832016	0.227441278010735	4.14552590487781	3.39034666513011e-05	0.0112144797392498
CCDC113	124.182916535301	0.937416456726601	0.255187596906047	3.67344051236052	0.000239306408463325	0.0394714922960969
