Sample	Cell type	Experiment	File type	URL
S005EJ41	AML	EGAX00001336931	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00018/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S005EJ41.ERX1139710.Dnase.bwa.GRCh38.20151104.bw
S005FH41	AML	EGAX00001125983	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00017/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S005FH41.ERX286201.Dnase.bwa.GRCh38.20150529.bw
S0074V41	AML	EGAX00001336933	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00040/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S0074V41.ERX1139712.Dnase.bwa.GRCh38.20151104.bw
S0075T41	AML	EGAX00001336934	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00041/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S0075T41.ERX1139713.Dnase.bwa.GRCh38.20151104.bw
S00CWT41	AML	EGAX00001336941	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00003/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00CWT41.ERX1139720.Dnase.bwa.GRCh38.20151104.bw
S00CXR41	AML	EGAX00001336946	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00012/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00CXR41.ERX1139725.Dnase.bwa.GRCh38.20151104.bw
S00CYP41	AML	EGAX00001336940	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00007/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00CYP41.ERX1139719.Dnase.bwa.GRCh38.20151104.bw
S00D0F41	AML	EGAX00001336945	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/bone_marrow/UMCG00011/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00D0F41.ERX1139724.Dnase.bwa.GRCh38.20151104.bw
S00D1D41	AML	EGAX00001336938	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00002/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00D1D41.ERX1139717.Dnase.bwa.GRCh38.20151104.bw
S00D3941	AML	EGAX00001336943	bigwig	http://ftp.ebi.ac.uk/pub/databases/blueprint/data/homo_sapiens/GRCh38/venous_blood/UMCG00008/Acute_Myeloid_Leukemia/DNase-Hypersensitivity/NCMLS/S00D3941.ERX1139722.Dnase.bwa.GRCh38.20151104.bw
