	LTR12C	LTR13A	LTR2B	LTR2C	LTR5B	LTR5_Hs
AGO1-ENCFF191KLS.bed	403	14	13	11	18	14
AGO1-ENCFF790CEE.bed	387	10	11	10	14	12
AGO1-ENCFF980ENB.bed	317	8	10	9	14	10
ARID1B-ENCFF118ZSL.bed	198	57	47	76	117	145
ARID1B-ENCFF231SVC.bed	194	59	47	76	112	144
ARID1B-ENCFF549JYE.bed	280	61	50	76	119	143
ARID3A-ENCFF001VLW.bed	8	24	1	18	19	15
ARNT-ENCFF011UZZ.bed	367	56	28	45	82	102
ARNT-ENCFF071HZE.bed	381	53	25	66	83	112
ARNT-ENCFF505URD.bed	423	63	36	66	99	113
ARNT-ENCFF652WXC.bed	375	47	34	62	81	117
ARNT-ENCFF829KFC.bed	263	54	34	54	81	97
ARNT-ENCFF848FSH.bed	381	62	40	63	102	122
ATF1-ENCFF001VLX.bed	12	32	9	19	42	29
ATF2-ENCFF513RYS.bed	202	59	18	29	62	91
ATF2-ENCFF759MWN.bed	183	50	13	36	55	63
ATF2-ENCFF826QEY.bed	176	54	18	30	54	72
ATF3-ENCFF001UIW.bed	2	14	0	0	0	1
ATF3-ENCFF001UIY.bed	3	17	1	7	4	3
ATF3-ENCFF001VLY.bed	0	0	0	0	0	0
BACH1-ENCFF001VLZ.bed	12	6	0	3	1	2
BACH1-ENCFF091TOR.bed	75	12	7	14	19	16
BACH1-ENCFF107CCL.bed	133	17	5	25	26	27
BACH1-ENCFF276CQA.bed	79	12	4	22	22	15
BCLAF1-ENCFF001UJA.bed	17	0	0	0	0	1
BCLAF1-ENCFF001UJB.bed	7	0	0	0	0	2
BCLAF1-ENCFF027UPQ.bed	331	25	20	23	65	75
BCLAF1-ENCFF185HLZ.bed	118	19	8	19	22	27
BCLAF1-ENCFF202AHW.bed	331	22	15	18	51	70
BCLAF1-ENCFF650YKB.bed	115	17	7	19	6	18
BCLAF1-ENCFF662CIT.bed	335	21	21	14	47	65
BCLAF1-ENCFF674BPH.bed	27	4	0	6	1	4
BCOR-ENCFF279NYK.bed	310	58	31	46	92	108
BCOR-ENCFF636VOC.bed	275	58	23	54	81	108
BCOR-ENCFF763UFC.bed	281	56	25	53	85	85
BDP1-ENCFF001VMA.bed	0	0	0	1	0	0
BHLHE40-ENCFF001VMB.bed	30	61	5	40	33	30
BHLHE40-ENCFF077KRK.bed	124	59	12	40	39	33
BHLHE40-ENCFF159GKF.bed	90	65	9	44	36	30
BHLHE40-ENCFF368XWG.bed	90	68	11	36	37	23
BMI1-ENCFF533JJE.bed	92	12	9	18	19	10
BMI1-ENCFF585JRW.bed	81	20	10	17	17	12
BMI1-ENCFF965OFQ.bed	61	13	6	15	22	9
BRCA1-ENCFF248TTW.bed	81	14	7	5	10	24
BRCA1-ENCFF302RJE.bed	83	9	8	3	19	29
BRCA1-ENCFF507JPU.bed	90	9	9	3	13	21
BRD4-ENCFF118EOA.bed	81	24	12	28	23	18
BRD4-ENCFF267CBS.bed	130	27	15	28	26	33
BRD4-ENCFF875ITP.bed	152	26	22	38	40	30
BRF1-ENCFF001VMC.bed	0	0	0	0	0	0
BRF2-ENCFF001VMD.bed	0	0	0	0	0	0
