	LTR12C	LTR13A	LTR2B	LTR2C	LTR5B	LTR5_Hs
AGO1-ENCFF191KLS.bed	391	21	23	22	42	73
AGO1-ENCFF790CEE.bed	397	32	29	17	45	69
AGO1-ENCFF980ENB.bed	401	29	29	23	51	73
ARID1B-ENCFF118ZSL.bed	388	24	24	20	53	83
ARID1B-ENCFF231SVC.bed	410	20	21	14	47	74
ARID1B-ENCFF549JYE.bed	377	21	26	25	43	71
ARID3A-ENCFF001VLW.bed	56	3	5	0	11	7
ARNT-ENCFF011UZZ.bed	382	19	25	19	39	81
ARNT-ENCFF071HZE.bed	391	17	25	19	43	65
ARNT-ENCFF505URD.bed	352	12	21	21	49	60
ARNT-ENCFF652WXC.bed	357	21	24	19	39	62
ARNT-ENCFF829KFC.bed	362	17	17	14	42	83
ARNT-ENCFF848FSH.bed	395	19	21	22	49	71
ATF1-ENCFF001VLX.bed	58	5	6	2	11	6
ATF2-ENCFF513RYS.bed	397	24	23	17	50	81
ATF2-ENCFF759MWN.bed	389	19	22	21	50	62
ATF2-ENCFF826QEY.bed	397	22	21	20	44	73
ATF3-ENCFF001UIW.bed	18	0	2	0	1	0
ATF3-ENCFF001UIY.bed	17	0	1	0	3	2
ATF3-ENCFF001VLY.bed	2	0	0	0	0	0
BACH1-ENCFF001VLZ.bed	31	3	1	0	5	5
BACH1-ENCFF091TOR.bed	408	11	22	18	37	75
BACH1-ENCFF107CCL.bed	401	13	20	17	39	70
BACH1-ENCFF276CQA.bed	401	15	28	14	37	75
BCLAF1-ENCFF001UJA.bed	1	0	2	0	0	1
BCLAF1-ENCFF001UJB.bed	1	0	1	0	1	2
BCLAF1-ENCFF027UPQ.bed	361	21	32	14	33	74
BCLAF1-ENCFF185HLZ.bed	371	19	23	17	52	70
BCLAF1-ENCFF202AHW.bed	377	20	22	11	40	69
BCLAF1-ENCFF650YKB.bed	366	12	11	11	39	57
BCLAF1-ENCFF662CIT.bed	373	17	25	17	47	75
BCLAF1-ENCFF674BPH.bed	40	2	3	3	9	10
BCOR-ENCFF279NYK.bed	342	17	28	18	49	65
BCOR-ENCFF636VOC.bed	337	18	34	23	43	79
BCOR-ENCFF763UFC.bed	355	19	23	20	41	70
BDP1-ENCFF001VMA.bed	0	0	0	0	0	0
BHLHE40-ENCFF001VMB.bed	103	7	7	2	14	15
BHLHE40-ENCFF077KRK.bed	354	15	23	11	46	68
BHLHE40-ENCFF159GKF.bed	359	18	19	10	40	59
BHLHE40-ENCFF368XWG.bed	355	14	22	15	40	58
BMI1-ENCFF533JJE.bed	383	15	23	17	45	70
BMI1-ENCFF585JRW.bed	396	23	23	19	45	56
BMI1-ENCFF965OFQ.bed	395	15	19	11	43	59
BRCA1-ENCFF248TTW.bed	417	27	32	23	49	62
BRCA1-ENCFF302RJE.bed	422	23	31	25	56	72
BRCA1-ENCFF507JPU.bed	412	25	30	18	54	56
BRD4-ENCFF118EOA.bed	237	10	16	12	29	54
BRD4-ENCFF267CBS.bed	429	20	30	24	56	75
BRD4-ENCFF875ITP.bed	379	26	32	19	45	77
BRF1-ENCFF001VMC.bed	0	0	0	0	0	0
BRF2-ENCFF001VMD.bed	0	0	0	0	0	0
C11orf30-ENCFF486RQW.bed	399	18	23	21	56	69
C11orf30-ENCFF559KAV.bed	414	22	22	21	60	69
C11orf30-ENCFF820UXS.bed	420	17	19	19	55	69
CBX1-ENCFF135TJX.bed	381	28	33	19	42	73
CBX1-ENCFF491AYX.bed	389	11	29	13	43	74
CBX1-ENCFF908UOT.bed	382	22	23	18	42	76
CBX2-ENCFF001SYV.bed	387	19	56	39	56	93
CBX3-ENCFF001SYW.bed	747	43	112	67	118	157
CBX3-ENCFF001UJC.bed	80	5	4	6	12	11
CBX3-ENCFF001UJD.bed	25	2	2	0	5	4
CBX3-ENCFF064WFD.bed	333	15	23	12	43	68
CBX3-ENCFF653UJT.bed	373	16	23	18	38	70
CBX3-ENCFF831QNI.bed	316	16	23	13	40	65
CBX5-ENCFF361FQK.bed	402	16	21	12	42	74
CBX5-ENCFF843XJF.bed	376	17	16	16	50	67
CBX5-ENCFF978SSL.bed	373	17	24	14	51	57
CBX8-ENCFF001SYX.bed	325	21	54	28	42	76
CBX8-ENCFF259GGN.bed	344	19	19	15	42	81
CBX8-ENCFF878IXX.bed	337	17	25	18	46	73
CBX8-ENCFF899WHU.bed	236	11	13	14	19	49
CCNT2-ENCFF001VMF.bed	69	3	3	1	7	9
CDC5L-ENCFF108JTM.bed	405	20	24	19	42	66
CDC5L-ENCFF361EMP.bed	407	21	28	14	42	66
CDC5L-ENCFF830THH.bed	388	15	27	15	45	69
CEBPB-ENCFF001UJE.bed	38	2	2	1	9	7
CEBPB-ENCFF001UJF.bed	15	1	0	0	4	4
CEBPB-ENCFF001VMI.bed	145	4	8	5	17	28
CEBPD-ENCFF001UJG.bed	20	2	4	1	6	3
CEBPD-ENCFF001UJH.bed	15	1	2	0	2	2
CEBPZ-ENCFF196NEV.bed	395	16	28	17	44	67
CEBPZ-ENCFF603ABN.bed	434	16	26	10	48	69
CEBPZ-ENCFF671UIB.bed	436	25	19	14	46	54
CHAMP1-ENCFF069GYB.bed	367	25	26	16	46	69
CHAMP1-ENCFF216MFC.bed	381	24	32	20	41	65
CHAMP1-ENCFF869KQW.bed	385	14	20	16	52	59
CHD1-ENCFF001SZA.bed	503	24	45	30	71	111
CHD2-ENCFF001VMJ.bed	38	3	3	0	6	10
CHD4-ENCFF001SYY.bed	403	25	54	43	62	86
CHD7-ENCFF001SYZ.bed	632	33	79	53	94	162
COPS2-ENCFF285LKH.bed	384	17	14	14	41	63
COPS2-ENCFF407JTS.bed	422	19	28	13	43	73
COPS2-ENCFF549VOY.bed	435	19	32	15	49	81
CREB1-ENCFF001UJI.bed	11	3	2	0	0	4
CREB1-ENCFF001UJJ.bed	12	2	2	0	0	1
CREB3L1-ENCFF596CWP.bed	425	22	33	16	48	69
CREB3L1-ENCFF719MEC.bed	409	18	30	16	43	83
CREB3L1-ENCFF893FDT.bed	395	17	36	17	48	88
CREM-ENCFF045SMN.bed	343	16	25	8	42	61
CREM-ENCFF357OAA.bed	371	18	24	11	43	76
CREM-ENCFF477IXW.bed	357	14	29	9	41	70
CSDE1-ENCFF087GPO.bed	373	23	25	23	43	74
CSDE1-ENCFF377LWJ.bed	377	18	31	14	32	84
CSDE1-ENCFF528NTT.bed	420	23	27	23	37	67
CSDE1-ENCFF669FWC.bed	388	25	25	20	50	65
CSDE1-ENCFF833BSZ.bed	412	18	29	20	54	76
CSDE1-ENCFF955FHT.bed	369	21	25	22	49	65
CTCF-ENCFF001SZB.bed	176	11	16	7	27	41
CTCF-ENCFF001UJL.bed	69	2	7	5	5	16
CTCF-ENCFF001UJM.bed	62	2	6	2	4	13
CTCF-ENCFF001UTE.bed	105	5	7	5	7	22
CTCF-ENCFF001VMZ.bed	122	6	10	6	12	30
CTCF-ENCFF001XST.bed	79	4	9	3	4	17
CTCF-ENCFF001XSU.bed	59	6	4	2	5	13
CTCF-ENCFF264LXL.bed	268	10	14	9	27	55
CTCF-ENCFF545EHA.bed	375	17	20	16	29	80
CTCF-ENCFF595QHF.bed	370	16	28	14	36	78
CTCFL-ENCFF001UJN.bed	11	0	1	0	0	2
CTCFL-ENCFF001UJO.bed	18	0	1	0	0	8
CUX1-ENCFF001VMG.bed	67	2	2	0	11	9
DDX20-ENCFF355OVA.bed	380	19	29	21	50	64
DDX20-ENCFF390GHC.bed	359	15	20	17	59	58
DDX20-ENCFF903NXY.bed	358	13	23	18	37	59
DEAF1-ENCFF433RNR.bed	445	20	21	18	39	66
DEAF1-ENCFF671XXI.bed	424	20	32	20	42	84
DEAF1-ENCFF774DGH.bed	412	19	33	18	53	75
DNMT1-ENCFF904JFG.bed	361	13	17	16	37	61
DNMT1-ENCFF940ADN.bed	371	20	16	14	55	61
DNMT1-ENCFF958LLL.bed	376	15	19	22	55	72
DPF2-ENCFF023VOJ.bed	370	17	25	19	46	68
DPF2-ENCFF577FLU.bed	363	17	28	18	48	68
DPF2-ENCFF994IZJ.bed	365	24	29	17	47	69
DROSHA-ENCFF154OXO.bed	387	18	13	16	45	80
DROSHA-ENCFF717LPP.bed	422	29	21	19	47	78
DROSHA-ENCFF854MYR.bed	411	18	26	16	61	81
E2F1-ENCFF159RHZ.bed	438	17	25	20	52	69
E2F1-ENCFF218RJK.bed	444	14	22	22	48	68
E2F1-ENCFF710KKZ.bed	400	18	29	16	50	72
E2F4-ENCFF001VMY.bed	8	1	2	0	2	3
E2F6-ENCFF001UJP.bed	13	1	2	1	1	1
E2F6-ENCFF001UJQ.bed	44	3	3	2	4	7
