	LTR12C	LTR13A	LTR2B	LTR2C	LTR5B	LTR5_Hs	aml.max
FOS	-2.292781749	2.247927513	-0.584962501	2	-0.678071905	-1.415037499	5659.75
JUNB	-1.365463165	1.285253077	-0.693446467	1.809049555	0.047039519	-0.186021667	1238.33
ZEB2	-0.587833335	1.700722469	0.310628212	1.907085724	1.237673851	1.124124343	785.14
JUN	-1.398233303	3.529446845	-0.29248125	2	-0.035194664	0.568751762	560.57
YBX1	-0.884359888	0.685984389	-0.409991265	-0.340191033	0.921637248	-0.21150711	556.22
CSDE1	-0.408697942	1.075631013	-0.076209348	0.489235616	0.694284794	0.128020633	346.86
NONO	0.503073135	1.975220133	0.572533423	1.455564369	1.360823763	0.566903985	339.04
TRIM28	-1.354506466	0.782176698	0.501128493	2.412474445	0.315068444	-0.122404921	337.33
YBX3	-0.77384566	0.40053793	0	0.514573173	0.890375509	-0.184424571	305.31
RUNX1	0.015363925	0.964763115	-0.073940969	0.925395136	0.798748891	-0.237967153	281.26
ATF3	-2.416445007	4.038407799	-0.79248125	1.5	-0.339035953	0.70751875	264.42
BCLAF1	-0.124806456	0.2410081	-0.652076697	0.678071905	0.956931278	0.019108823	255.85
NFRKB	0.103479109	1.726706516	0.273230512	1.509693037	0.755078279	0.484775443	232.42
PHB2	-0.585476626	1.25340005	0.079204386	0.870121458	0.86227285	0.584962501	217.36
POLR2A	1.08538998	1.681206589	0.18020332	1.651556678	0.962845834	0.285274104	215.49
POLR2AphosphoS2	-0.716827949	1.152003093	-0.415037499	2.146841388	0.506959989	-0.807354922	NA
POLR2AphosphoS5	0.57797607	2.584962501	-0.263034406	3.087462841	2.152003093	1.263034406	NA
IRF1	0.000844315	1.605692485	0.510714009	1.211966489	0.82997155	0.94024603	208.58
ELF1	-0.452707969	1.266542073	0.059706682	1.297925725	0.268363402	-0.06129041	207.06
ETS2	-0.126252543	0.665808685	0.41796989	0.556929506	0.575379085	0.368685245	199.74
EGR1	0.181728936	1.709284994	-0.153603955	1.511392338	0.549738157	-0.000896498	195.54
CHD4	-0.162356456	0.971985624	-0.5334322	0.447458977	0.448984831	0.064851144	194.71
JUND	-1.782499171	1.629827437	-0.429511438	1.936817652	0.204462431	-0.481579086	184.26
IKZF1	-0.89133631	1.659218823	0.350805467	1.910281976	1.37991921	1.018444253	181.05
MAZ	-0.94753258	2.192645078	-1.169925001	2.247927513	0.64385619	-0.074000581	178.02
