chr	start	end	peak	H3K27ac_K562_ctrl	H3K27ac_K562_all	H3K27ac_K562_sep	H3K9me3_K562_ctrl	H3K9me3_K562_all	H3K27ac_OCIAML3_ctrl	H3K27ac_OCIAML3_all	H3K27ac_OCIAML3_sep	H3K9me3_OCIAML3_ctrl	H3K9me3_OCIAML3_all	H3K9me3_OCIAML3_sep
chr1	1411792	1412792	dCas9_LTR2B_peak_1	-1.2584088	-1.0770955	-1.2355735	0.16429359	0.8112004	-2.1959727	-2.7730157	-1.2134986	-1.0712565	-0.3946566	-0.5274348
chr1	1418016	1419016	dCas9_LTR2B_peak_2	-0.21888043	-1.2885996	-1.2355735	0.16429359	0.5679292	-0.906466	-1.1100508	-1.5183531	-2.135387	-0.83522916	-0.8269951
chr1	15801939	15802939	dCas9_LTR2B_peak_3	-0.07078179	-0.9515646	-0.6225967	-0.42066893	0.8839567	-2.5585427	-1.5506234	-1.3578885	-1.2025012	-1.2502667	-1.2055067
chr1	28586515	28587515	dCas9_LTR2B_peak_4	-0.72789407	-0.53652716	-1.0751089	-0.26866582	1.2386216	-0.45900708	-2.03605	-1.0208535	-1.0098561	-1.320656	-0.43997198
chr1	31482467	31483467	dCas9_LTR2B_peak_5	0.9467057	-0.9515646	-1.5156814	-0.59059393	0.7861094	2.828859	2.1734033	2.7822013	-1.8943788	-0.94214433	-2.5274348
chr1	36386146	36387146	dCas9_LTR2B_peak_6	2.6050892	3.03712	3.8267107	-1.4206688	1.1029665	2.4982884	2.1014533	2.4709995	-1.8943788	-2.1831524	-3.5274346
chr1	46325172	46326172	dCas9_LTR2B_peak_7	-0.7844776	-0.78163964	-1.7380738	0.2673871	1.1029665	1.093534	-0.14852491	1.214363	-1.5948185	-0.6883878	-0.8269951
chr1	46331651	46332651	dCas9_LTR2B_peak_8	-0.6734463	-0.7291722	-1.5156814	-0.59059393	1.0617439	0.3620228	-0.27051544	0.3714639	-1.8943788	-0.6883878	-1.9424723
chr1	67214647	67215647	dCas9_LTR2B_peak_9	-0.72789407	-1.3666022	-2.1531112	-0.19827649	0.5078082	-1.665458	-1.4510876	-3.2838879	-2.2728903	-0.6883878	-1.7200798
chr1	89181818	89182818	dCas9_LTR2B_peak_10	-1.9689021	-2.2145991	-1.4161458	-0.6837033	-0.0023864962	-2.3658977	-3.773016	-2.4358912	-1.5073557	-1.1831524	-0.43997198
chr1	89994445	89995445	dCas9_LTR2B_peak_11	1.5258626	2.3823361	2.9201374	-2.2686658	-1.4618181	1.9650192	1.5489124	2.0523953	-2.2728903	-1.7356935	-4.527435
chr1	109731193	109732193	dCas9_LTR2B_peak_12	-1.4283338	-1.0129652	-1.6225966	-0.6837033	0.8839567	-1.459007	-2.7730157	-2.4358912	-1.4248935	-0.8876966	-0.94247234
chr1	110329914	110330914	dCas9_LTR2B_peak_13	1.0635192	-1.214599	-1.0751089	0.49686894	0.5970756	-1.5585427	-1.5506234	-1.6989255	-1.5073557	-0.8876966	-0.94247234
chr1	145877555	145878555	dCas9_LTR2B_peak_14	0.06351931	-0.36660212	0.10322836	-2.2686658	-0.8768556	-0.6654579	-1.0360502	-0.85092854	-1.3468909	-0.59819	-1.2055067
chr1	145964126	145965126	dCas9_LTR2B_peak_15	1.8004848	2.3214538	2.8267107	-1.0056314	-1.3463409	2.2190647	1.8994095	2.1755438	-1.4248935	-1.320656	-1.5274348
chr1	148324888	148325888	dCas9_LTR2B_peak_16	-1.2584088	-1.536527	-1.3230364	-0.42066893	-0.23942569	-1.1959727	-0.9656608	-0.7984611	-1.135387	-0.6883878	-0.35750985
chr1	151280915	151281915	dCas9_LTR2B_peak_17	1.7415912	2.2836518	2.876636	-1.5905939	-2.0467806	2.7939737	2.856341	3.3885374	-2.009856	-1.9421444	-2.2055068
